,CO,SVI,SVI,,San Vicente,,,,,,,Сан-Висенте,,,,Сан-Висенте,,,,1,09/02/12 14:29,
,CR,TOO,TOO,,San Vito Airport,,,San Vito Vliegveld,,San Vito Aéroport,,Сан-Вито,,,,Сан-Вито,,San Vito Aeropuerto,,1,10/02/12 14:29,
,YE,SAH,SAH,,Sanaa Intl,,,Sanaa International,Sanaa International,Sanaa International,,Сана Интернешнл,,,,Сана Интернешнл,,Sanaa Internacional,,1,11/02/12 14:29,
,ID,SQN,SQN,,Sanana,,,,,,,Санана,,,,Санана,,,,1,12/02/12 14:29,
,IR,SDG,SDG,,Sanandaj,,,,,,,Санандадж,,,,Санандадж,,,,1,13/02/12 14:29,
,CU,USS,USS,,Sancti Spiritus,,,,,,,Санкти-Спиритус,,,,Санкти-Спиритус,,,,1,14/02/12 14:29,
,UM,MDY,MDY,,Sand Island,,,,,,,Санд-Айленд,,,,Санд-Айленд,,,,1,15/02/12 14:29,
,US,SDP,SDP,AK,Sand Point Mnpl,,,Sand Point Municipal,Sand Point Municipal,Sand Point Municipal,,Санд-Пойнт Мунисипал,,,,Санд-Пойнт Мунисипал,,Sand Point Municipal,,1,16/02/12 14:29,
,MY,SDK,SDK,,Sandakan,,,,,,,Сандакан,,,,Сандакан,,,,1,17/02/12 14:29,
,GB,NDY,NDY,,Sanday,,,,,,,Сендей,,,,Сендей,,,,1,18/02/12 14:29,
,GY,SDC,SDC,,Sandcreek,,,,,,,Сендкрик,,,,Сендкрик,,,,1,19/02/12 14:29,
,NO,OSL,TRF,,Sandefjord Torp,,,,,,,Сандефьорд,,,,Сандефьорд,,,,1,20/02/12 14:29,
,US,SHN,SHN,WA,Sanderson Field,,,,,,,Сандерсон Филд,,,,Сандерсон Филд,,,,1,21/02/12 14:29,
,AU,SRM,SRM,QL,Sandringham,,,,,,,Сандрингем,,,,Сандрингем,,,,1,22/02/12 14:29,
,CA,YZP,YZP,BC,Sandspit,,,,,,,Сандспит,,,,Сандспит,,,,1,23/02/12 14:29,
,AU,NDS,NDS,WA,Sandstone,,,,,,,Сэндстоун,,,,Сэндстоун,,,,1,24/02/12 14:29,
,SE,GVX,GVX,,Sandviken,,,,,,,Сандвикен,,,,Сандвикен,,,,1,25/02/12 14:29,
,BD,SDW,SDW,,Sandwip,,,,,,,Сандвип,,,,Сандвип,,,,1,26/02/12 14:29,
